Brand,Model_Info,Additional_Description,Locality,City,State,Price
1, name0 7plus, excellent condition 101008700 watch 3 gps 42mm space grey 1010011400 till 1010016900 2019 101008900 box charging cable band available,243,13,5,30000
1, iphone 6 hai mast hai mere ko pesse ki jarurat hai liye bhech rha hu, vivo brand,953,8,2,13000
1, honor 8pro, 101004500 6 101004900 smoothmint condition 4 gb ram 64 gb internal 1 year old thirteen thousand five hundred rupees printed bill,106,4,0,14000
1, name123 7 32gb gold color, 1010012300 7 32gb gold color warranty available 1010095300 card 1010011500 available brand new condition original accessories available scratch dent ¬ exchange yet used interested call 1010095400 shop doubts call 9791137413 tamil selvan p 1010095300 debit 1010037800 accepted 1010062600 location vadapalani 101008700 10100000 macbook ipad mobile 1010097600 done ¥¬¥ ¥¥ €,382,2,6,22000
1, name0 6s32 gb, good conditions,165,0,1,19000
1, name87 new products, 5000mah battery fast charging 2days battery backup 4gb ram 16mp cam finger print unlock cant find single scratch 2 cases original charger,791,2,6,64000
1, name0 6s new, bill box,428,4,0,21500
1, name0 6 64gb, mint condition 2month old,907,4,0,13000
1, name87 8 64gb gold may 2020 warranty available, 10100000 7 gold unboxed,685,4,0,29900
1, xs max 256gb gold, fantastic nice condition 10100106200 cover cable available reasonable price 1010013100 1010017200 call contact,987,0,1,79500
1, name0 xs max 64gb gold colour, perfectly working iphone black paint come places body,1156,2,6,67000
1, name0 xs name229 256 gb, description,880,2,6,82000
1, 11 11pro, 2month used iphone xs space grey 256gb 10month universal warranty remaining box accessories,323,11,4,113900
1, name0 xs64gb name54 seal pack, used 6 months well condition 101006600 a20 mobile 101004100 black,58,4,0,70000
0, honour 9 lite 64gb, 10100212000 modem m2s used 3 months 20 pieces,909,10,7,10000
0, name233 9lite 4gb 64gb brand new condition phone, 10100000 xs 64gb gold color available sell 1010054600 date 27 1010080200 2018 extend warranty period 27 1010080200 2020 apple store recently phone new condition without faults scretches original accessories bill box charger cable phone purchase 101008700 1010080300 exchange offer please,630,4,0,4250
1, name0 6 32gb good condition, glass broken 1010021400 wrking 5 mnt wrnty box pice 3gb 32,338,11,4,13000
1, models name0 bill box warranty, iphone 10100115000 1010041200 silver purchased 10100179100 27th 2019 warranty,53,10,7,12000
1, phone seven plus, 10100000 xs max excellent condition 101006100 box everything scratches dents 64gb gold 1 year extended warranty urgently sell,443,13,5,30000
2, name271 k5 plus 3gb16gb 4g, want sail phon,1115,11,4,4699
1, name0 6s 32gb full kit bill, 101006600 galaxy 1010011600 101009200 128gb accessories 101006100 101006200 genuine 1010053700 1010053800 interested contact whatsapp call 8743067148,850,2,6,14000
1, iphone 6 space name183, want buy new iphone 11 pro,388,15,5,10500
1, name0 7 name103 2 years old scratch running name536, brand new phone 6gb 128gb bill box charger headhones 10100222900 new phone 101007400 negotiabel,577,13,5,22000
1, phone 6s 64gb, phone 7 plus 128 gb perfect condition bill box charger,717,4,0,11000
3, name2589 name3 5 4g name36 phone sing, 3 gb ram 32 gb rom expendable upto 400 gb 1473cm 58inch 101008200 display 13mp 5 1010021200 8 1010021200 front camera 3060mah battery 1010067500 helio 1010067600 processeor,730,4,0,3800
1, phone 7 sell 32 gb, excellent condition phone 101006200 n charger,1165,15,5,17000
1, name0 6 name453 name924, im give new fon,1008,15,5,14500
1, name0 6s 1 year old, one month used phone total proctecion available one yar,582,10,7,12000
1, 8plus 256gb silver, want sell urgent redmi 1010026100 4gb ram 64gb box bill charger mint condition 12months used timepass,442,10,7,45500
1, name0 6 128 gb, charger bill 1010029800 one ping negociable,1153,13,5,13500
1, name54 iphone 2 months old full original accesiories, 1010014700 perfect box charger one time screen replaced,679,8,2,27999
1, name0 6s 16gb, 101006600 galaxy 1010018100 2gb ram 16gb rom 101006100 box accessories available 101007400 5500 फोन बिल्कुल नया है पर एक दाम है,1006,4,0,11000
1, im selling name0 6s, iphone 6s 15000,134,1,3,15000
1, iphone xs max 256gb sealed pack bill 1 year warranty card emi, iphone xs max 256gb sealed packed bill warranty 10100000 x 256gb 66900 10100000 xs 64 72900 10100000 xs 256 78900 10100000 xs max 64gb 77900 10100000 xs max 256gb 85900 1010011300 offer gst 101006100 1010011400 credit card 1010011500 available,839,1,3,85900
1, name0 xs max 256gb name183 warranty name2881, 101004800 1010020400 2z 5 daya old used unsealed bill box accessories 101007400 new 30000 sell asap,216,13,5,75000
1, name0 xs max 256gb, 101004800 reno excellent condition 101006200 available,446,2,6,68000
1, cloud unlocking name681, 4gb 64 gb 101004200 color scratches replacements,328,11,4,5566
1, name123 xs 64gb warranty, 1010012300 xs 64gb gold warranty brand new condition call us soon book 101007800 stock available 1010038000 mobiles people1010019500 1010038000 introducing 1010038100 time india smart phones sales rent customer satisfaction profit 1010038200 premium models available 1010038300 kumaran road opposite kvb 1010017900 tiruppur 641602 follow us fbmetrustmemobiles,594,1,3,58999
1, phone x good condition, 1010052600 packed 2 months old warranty bill,969,8,2,45000
1, phone 7 128gb, well used apple 7 1010026900 128gb accessories,897,1,3,30000
1, name0 x 256gb, 10100000 x 256gb excellent condition awesome condition full kit available silver color,997,1,3,49000
1, name54 name0 7 128gbname54 sealedcodemiwarrantyexchenge option, 101005400 phone use,217,2,6,28900
1, brand name54 name0 7 128gb, description,325,0,1,24490
1, name87 watch serise 2 nike gps 42mm good condition, 3 days old,575,13,5,15000
1, name0 6s 64gb, 101008700 watch 1010025100 4 brand 101005400 condition accessories including 10100218600 101005400 never used,409,10,7,16000
1, phone xs 256 gb gold 1 month old bill box accesory, brand 101005400 excellent best quality,939,8,2,76000
1, name0 x 256 gb, 101006600 galaxy 1010010800 8gb 101004600 128gb 20 101008000 1010024300 101006100 101006200 accessories sell 5 101008000 1010024300 like 1010012000 pack exchange range phone one plus 7 pro,574,4,0,50000
2, name271 vibe k5 note 3gb 32gb 55 inch 13mp, 55 inch neat condition 1010034000 1010030300 plus 3gb 32 gb 5000 mah battery 1010068900 print sensor 13 mp camera accessories,79,11,4,5299
1, apply phone, 7 days old 10100197400 1010014000 earphone 101008900 101006100,396,8,2,15999
2, name271 zuk 64gb 3gb 13mp 55 inch finger, 5inch finger print 4g dual sim phone good condition accessories,45,11,4,5999
1, good phone, best offres available seal packed mobile one year warranty free 1010040400 delivery available india cash delivery available details contact 101007800,362,15,5,6500
1, name0 name234 64gb name235 name103, one plus 5 mobile phone used almost 15 years excellent working conditionno problem online bill box along charger offer price 12000 negotiable interested buyers contact,158,0,1,13500
1, name0 name234 available 32 gb rom good condition, 10100000 1010023400 available 32 gb rom good condition,617,1,3,10000
0, name233 10 name154 blue 6gb ram 128 gb storage, hello would like sell iphone 7plus rose gold accessories cases available well infact battery also replaced months back 10100000 battery replacement policy well,1138,10,7,22000
0, name233 7x 32 gb 4gb ram, 1010023300 7x 32 gb 4gb ram,592,1,3,7000
1, name0 7 32gb name248 black colour, 1010095300 card 1010011500 available models 1010012300 5s xs max brand new condition original accessories available scratch dent exchange yet used interested call 1010095400 shop doubts call 7845593133 10100242600 € 1010095300 debit 1010037800 accepted 1010062600 location vadapalani 101008700 10100000 macbook ipad mobile 1010097600 done,1084,2,6,22400
1, 6s 128gb gud condection, 1010012200 condection screen replacement,863,1,3,16000
1, name0 8 64gb name1 name61, 101008700 10100000 excellent performance latest models 10100120200 101008500 c 10100000 models also available call 1010016500 10100120300 question 10100120400 given delivery available 10100120200 101008500 1010010200 delivery brand 101005400 1010097000 genuine colors models available 10100120500 hurry 10100120600’s 101006800,765,0,1,28990
1, iphone name112 32gb name54 name120 name115 option cod name2594, phone 7 256 gb 1010016400 condition 15 years old,251,8,2,14900
1, name87 airpods original, want sell 101006600 a7 phone bill box n chargeearphones phone good condition 6gb ram 128gb memory,669,13,5,7299
1, good condition neat, im selling 10100000 7 one year old box original charger stereo extensionand bill 101007400 28000 negotiable,394,10,7,90000
1, iphone new ultimate condition sale price starts 7499, volume button problem otherwise pakka working 10100243200,540,2,6,7499
2, 13 mpl back camera 8 mpl front cam golden back cover, 101006600 premium models available sale heavy discount cod,173,15,5,4500
1, name0 11 pro max name746 green 256 gb indian seal packed, 10100000 101005100 phones sale available 1010010700 101005400 old model available contact us whatsapp details 101006800 stock hurry place ur order company 10100114400 1010080100 order available cod cash delivery service available 101008500 1010010000 1010010100,734,0,1,124000
1, tip top condition, 101008400 note 10100125900 brand 101005400 conditions nice 101001900 backup nice 10100126000 101001600 101008100 101006900 8 101003500 1010024300 1010065400 101008900 10100126100 1010035200 10100126200 10100126300 interested 10100126400 contact 1010026500 dont send cheap offers,285,0,1,2200
1, newly launch name0 11 64128gb best price, 10100000 1010011200 64gb 16900 10100000 6s 32gb 18900 10100000 6s 64gb 19900 10100000 6s 128gb 22900 10100000 6s 101009200 64gb 29900 10100000 7 32gb 22900 10100000 7 128gb 28900 10100000 7 101009200 128gb 38900 1010011300 offer gst 101006100 1010011400 credit card 1010011500 available,789,2,6,58500
1, sell name0 6, bil box charger,214,4,0,12000
2, name271 k3 note 2gb 16gb 13 mp 4g dual, 1010034000 g 3g dual sim phone good condition accessories,1140,11,4,3799
1, name87 name0 7 32gb accessories nice condition, 101008700 10100000 6s 64gb accessories bill box 600 iphones available 1010095300 1010037800 accepted 1010095300 1010037800 1010011500 available 1010062600 warranty pieces available prices fixed 1010095400 fb insta page olx profile 10100158800 1010023900 opposite 10100158900 10100159000 park 10100159100 10100158200 10100158600 10100159200 411042,640,15,5,18450
1, name0 x 256gb silver colour, 101004800 f 3 ram 4gb rom 64 dual front selfie camera 16 1010021200 rear camera expert mode 16 8 dual front camera,946,8,2,54000
1, phone 7 32 rose gold color, good condition something problem display,593,13,5,15999
0, name233 name575 sapphire blue 4months used only3gb32gb, 1010022700 touch crack perfect working used one year box,496,4,0,7999
1, name87 name0 8 eight plus, 101006600 101008700 10100000 available contact details cod available,121,1,3,18800
1, name0 7 32gb product name81 20900, excellent condition 101006600 galaxy note 9 call phone177000,640,15,5,20900
1, name0 6plus rose gold, 10 months old mobile along original charger headset brand box bill copy 101005100 warranty,791,2,6,13500
1, iphone xs max256gb silver activated seal pack, 101006600 model sma205f one month old approx bill box charger headphones etc came selling coz wish buy m30s purchased 1050000 ready offer 1000 rs discount dark blue color 32gb storage 3 gb 101004600,440,13,5,65123
1, name87 name0 7 name1670 black 128gb good condition, want switch 10100600 change that’s selling,819,13,5,18500
1, name0 7 plus silver 128gb, 24mp front camera back 16 plus 5 mp dual camera new condition without skrech dant,796,4,0,33500
1, name0 x 64gb white colour 10 month warrnty, 101006100 n box n 1 condition,0,0,1,56000
1, name0 x 64gb, description,981,13,5,41000
1, name0 xs name119 name1 64gb, 101008700 10100000 7 32gb 14500 101004200 1010015600 available even 101003300 problem condition good accessories available 1010011400 1010011400 non negotiable 101007400 used mobiles available bulk also contact us 10100180700 payment mode accept types 10100161600 1010095300 10100102200 call 10100161800 11 8 pm devices available valid gst bill negotiations please loststolen guarantee 1010083100 – 10100181700 10100181800 plot 4 5 kh 5913 10100181900 10100182000 10100182100 10100182200 10100182300 10100180900 near 10100180900 1010085300 1010091600 10100182400 468 10100182500,930,8,2,60000
1, phone 7 plus 32gb sell, 101008400 redmi 6 pro 32gd gold billbox charger,669,13,5,19500
1, name123 6 64 gb, real c2 sealed pack,295,13,5,11999
0, name615 honor 8 lite 64gb, 101008400 a1 good neet best cam even single scratch full box selling arjunt cash 9446zero85957,1173,11,4,7000
1, name0 xs name229 64gb brand new condition, 1010095300 card 1010011500 available models 1010012300 5s xs max brand new condition original accessories available scratch dent exchange yet used interested call 1010095400 shop doubts££ call 7845593133 10100242600 1010095300 debit card accepted 1010062600 location vadapalani 101008700 10100000 macbook ipad mobile 1010097600 done,821,2,6,62000
1, name87 name224 availbale original quality, sell 10100000s guaranteed lowest price market warranty accessories •,447,1,3,8880
1, name87 name0 6 16gb accessories black, excellent condition single scratch dent single spot phone even side silver bezels spotless 1010011400 1 year old bill box charger earphones accessories 1010029300 101001800 glass back tempered glass installed phone hardly used new condition kept second phone 1010010500 selling already purchased note 10 1010013100 buyers exchange message contact details 101007400 slightly negotiable,1050,15,5,9800
1, name0 xs max 256gb silver, less 4 months old 10100000 xs 1010022900 256gb accessories 101006100 scratches dents,699,1,3,90000
1, phone x good condision, please note one 10100102700 1010099800 10100102700 1010099800 10100101900 10100101400 1010099300 1010015900 1010024500 pro 6gb 64gb 03 1010016900 2019 tak 1010011400 1010063200 bill box accessories 1010016400 condition 1010097800 1010097900 details follow 10100102900 10100103000 1010011300 10100103100 1010024300 101005100 10100101200 available bajaj finance 1010095300 card 1010011500 available • • 1010052200 second hand 101005800 phone •• √ highest 1010011300 1010017100 1010099800 1010011300 10100100900 15 1010024200 return guarantee fixed 1010017100 1010022800 photos details whats 1010083700 message 1010083100 1010011300 10100103100 7 basement 10100101400 1010099300 10100101900 1010054100 1010054300 10100101600 10100101700 1010054300 1010099800 380015 7 3 7 7 7 7 7 7 5 8 1010025300 101003600 1010096000 1010011300 10100103100,578,0,1,52000
1, name0 6 32 gb, phone good condition phone bill data cable adapter box earphones last expected price 11500 1010022800 1010011300,1008,15,5,11500
1, name0 8 good condition, less used nice condition defects original accessories box,230,2,6,40000
2, name271 name1622 name178, 10100000 6 32gb 1010010300 colour,567,15,5,5500
1, name0 7 32gb untouch condition, acc h 11month h like new condition 1010024800 black 128 bill,943,8,2,17500
1, ipad 2nd name1568 64gb wifi name859 excellent condition, brand 101005400 condition good 101005400 101006100 accessories lowest prices 10100159300 visit us 1723 rs 10100169600 1010054300 10100169700 10100164200 opposite 10100170600 10100164200 near 10100170700 1010023000 10100158600 10100159200 01,193,15,5,9900
1, name87 iphone name554 16gb 4g 8 mega pixel cam, get 3 months warranty used phone bill box charger earphone 1010052200 conditions good new fixed prices don’t negotiate located 1010052300 1010052400 part 1,461,4,0,5250
1, name0 7 32gb good condition, 1010095300 card 1010011500 available models 1010012300 5s xs max £ brand new condition original accessories available scratch dent exchange yet used interested call 1010095400 shop doubts call 7845593133 10100242600 1010095300 debit 1010037800 accepted 1010062600 location vadapalani 101008700 10100000 macbook ipad mobile 1010097600 done,815,2,6,22499
1, iphone 8plus 256gb india deliver, buy apple iphone samsung model future technology awesome customer selling price best condition buy model starting price 15000 cash delivery available 101008500 call whatsapp details 101008600,1128,11,4,14000
1, name54 iphone 6s 32 gb phone accessories, fully working condition totally satisfied mobile phone selling phone going buy new iphone mobile original parts never got screen replaced original phone never even opened mobile everything working,493,4,0,17000
1, letast name54 top model iphone high collety name61 box call top 4g, description,506,13,5,12000
1, name0 8 plus 64 name182, used 101006600 galaxy 1010057800 1010023500 101004100 4 months old interested contact 9971960889 serious buyers contact,245,4,0,30000
1, name0 7 name180 name42 32gb, excellent condition looks like 101005400 bill 101006200 1010014000 101007400 fixed 1010083100 10100158000 1010031100 101005100 1010080300 10100158100 10100158200 1010085200 1010054300 near 10100158300 petrol pump 10100158400 mitra 10100158500 10100158600 10100158700 411030,267,15,5,17500
0, name233 9 lite display crack aayitunde touch complaint illa, 101005000 105 1010035500 condition used 10days 10100146600 mp3 player dual 1010037600 sms calls flashlight calcutor ₹99 worth 4 games grab,771,11,4,4500
1, phone xs max 64 gb gold 1 month old bill box accesory, phone xs max 64 gb gold 1 month old bill box accesory,845,4,0,72000
1, name0 7 32 gb 11 months old bill full set, would like sell 6 months old 101006600 1010011600 plus good condition complaints charger headset,767,2,6,25000
1, name0 x 64gb name119 grey, samsungj4plus8 months use warranty black colour 32 gb internal memory 4 gb ram,318,11,4,43000
1, name14 128gb name87 7 21900, 101006600 galaxy s9plus coral blue colour 6gb ram 64gb internal bill box charger earphones mobile excellent condition scratches nd 3 covers 15 years used,640,15,5,21900
1, phone 5 excellent condition, need replace new display everything working good,1138,10,7,3500
1, name350 offer sale today phone mobile, full kit 10100151800 charger 1010070500,328,11,4,15000
1, name0 6 16gb, 1 month old partly used scratch less condition accessories bill box,376,4,0,11000
1, iphone x 64gb grey, 6128gb 3 month remaining worrnty accessories available even one scratch phone new condition urgent sell,1104,13,5,41000
1, name87 iphone 7 plus 128gb, 101005400 1010095000 2 box pack 1010015600 white 101008700 warranty 101005400 brand new box pack 1010011400 yes 1010010000 cover n toffen glass 1010011500 also available 1 1010095100 1010095200 2 1010095300 1010037800 call 1010095400 time 10am 10pm 100 fixed 1010017100 details 1010095500 message follow olx see daily new 1010095600 profile name 1010095700 mobi details call us direct call olx message 1010095500 contact 1010095800 1010083100 1010095700 mobi sg 9 2nd floorom complex opp mymy showroom 1010095900 roadcg roadahmedabad 1010025300 101003600 1010096000 1010096100,560,0,1,34000
1, phone 6 64gb space grey, good condition battery pick awesome mobile charger box bill note finger print working every thing perfect fingerprint working selling low price 1010034100 mute button running good condition take look phone get know,235,1,3,10000
1, closing name269 name0 models name61 name102 delivery, 6gb ram 128gb rom 3 month old single problem accessories available 101001100 855 processor hdr 10 display 10100198100 refresh rate stereo speakers dolby atmos ultrasonic fingerprint sensor,251,8,2,17999
1, name87 6s 64 gold neat, good condition accessories4gb ram 64gb internal memory,304,10,7,14000
1, name0 name234 plus 64 gb, 1010041000 womens mens watches available pics buy message us,508,0,1,17000
1, name2340 colony name2340 name2144, rare 101005100 htc one 8 eye silver 13 mg camera battery 2600 2 gb ram zero scratch rarely used box manual mobile warranty like new zero defects working new single sim leather cover perfect condition 1 back cover also,1167,13,5,5500
0, honor 9n 1 week old perfect best condition, mind blowing performance 101008700 phone latest models best 101007400 10100122600 available 101008500 contact,1182,2,6,7500
3, name36 name3 4, phone 4 month old issue even one scratch also used phone much googling call purpose used looks like new phone google vivo v9 pro get features phone think lots people know phone cauz flagship phone promoting 10100248200 khan coming vivo v11 pro,1052,2,6,2600
1, name0 6s 32gb name103 name156 3 name35 name114, 101005400 iphone 7 128gb 1010015600 10100103500 101005400 brand new box pack 1010011400 yes 1010010000 cover n toffen glass 1010011300 available 1001 1010047500 10100100900 available 1010011300 1010011500 also available 1 1010095100 1010095200 2 1010095300 1010037800 √ 1 week return policy √ 1010010000 doorstep delivery available dont call bargaining call 1010095400 time 10am 10pm 100 fixed 1010017100 details 1010095500 message follow olx see daily new 1010095600 profile name 1010095700 mobi details call us direct call olx message 1010095500 contact 1010095800 1010083100 1010095700 mobi sg 9 2nd floorom complex opp mymy showroom 1010095900 roadcg roadahmedabad 1010025300 101003600 1010096000 1010096100,639,0,1,12700
1, name0 7plus z black, money issue,661,13,5,35000
1, name0 7 128gb box good comdition, amazing offer 101008700 10100000 model,330,10,7,22000
1, name243 mobile phone sell best price cash payment, 10100128100 10100128200,700,0,1,13000
1, name0 8 256gb name103, 10100122700 condition 101006200 1010026700 101005100 1010014000 101006100 1010016500 9265o351o2 fix rate bargain 1010026600 call 1010093400 genunie person,765,0,1,30000
1, name269 exchange iphone 7 mat black cool condition, 1010026900 exchange iphone 7128gb mat black colour original accessories nice condition problem replaced touch glass display original price ill b negotiable lost bill box ill provide id proof exchange also available,1031,1,3,18500
